person,age,country,education,diet_restriction,diet_goal,cooking_exp,eating_habits,gender,recipe_name
140,b35_45,US,BA,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Male,Bacon Jack Chicken Sandwich
141,b35_45,US,MSc,"Diabetes, Vegetarian","Eat less sugar,Eat more protein",High,Healthy,Female,Simple Carnitas
142,b35_45,US,High_school,No dietary restrictions,"Eat less salt,Eat less sugar,Gain weight",Low,Healthy,Male,Simple Carnitas
143,b25_35,US,High_school,No dietary restrictions,No goals,Medium,Healthy,Male,Charley's Slow Cooker Mexican Style Meat
144,b45_55,US,BA,Diabetes,No goals,High,Very_Healthy,Female,Queenie's Killer Tomato Bagel Sandwich
145,b25_35,US,BA,Vegetarian,Eat less sugar,High,Healthy,Female,Queenie's Killer Tomato Bagel Sandwich
146,b25_35,US,BA,Vegetarian,Eat more fruit,Medium,Very_Healthy,Female,Pico de Gallo Chicken Quesadillas
147,bover_55,US,BA,No dietary restrictions,Lose weight,Medium,Healthy,Female,Slow Cooker Cilantro Lime Chicken
148,b25_35,US,BA,"Halal, Kosher, Vegetarian","Eat less sugar,Eat more fruit,Eat more protein",High,Healthy,Female,Soul Smothered Chicken
149,b35_45,US,BA,Pescatarian,Eat more fruit,High,Healthy,Female,Marinated Grilled Shrimp
150,b18_24,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Gain weight",Medium,Neither_healthy_no_unhealthy,Male,Grilled Tilapia with Mango Salsa
151,b45_55,US,MSc,Vegetarian,No goals,High,Very_Healthy,Female,Firecracker Grilled Alaska Salmon
152,b45_55,US,High_school,No dietary restrictions,No goals,High,Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
153,b25_35,US,MSc,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",High,Healthy,Male,Italian Sausage' Peppers' and Onions
154,b25_35,US,BA,No dietary restrictions,No goals,High,Neither_healthy_no_unhealthy,Male,Linguine Pasta with Shrimp and Tomatoes
155,b45_55,US,High_school,No dietary restrictions,No goals,Low,Neither_healthy_no_unhealthy,Female,Stuffed Shells III
156,b25_35,US,High_school,No dietary restrictions,No goals,Medium,Healthy,Male,Best Tuna Melt (New Jersey Diner Style)
157,bover_55,US,High_school,Vegetarian,No goals,Medium,Healthy,Male,Queenie's Killer Tomato Bagel Sandwich
158,bover_55,US,High_school,No dietary restrictions,No goals,Medium,Healthy,Female,Spinach Quiche
159,b25_35,US,MSc,Diabetes,Eat more vegetables,High,Healthy,Male,Sausage' Peppers' Onions' and Potato Bake
1018,b25_35,US,High_school,No Dietary Restrictions,No goals,Medium,Healthy,Female,Farmer's Market Vegetarian Quesadillas
1019,b25_35,US,High_school,"Lactose intolerance, Other",Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Linguine Pasta with Shrimp and Tomatoes
1020,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein,Lose weight",Very_Low,Unhealthy,Male,Three Cheese Manicotti II
1021,bover_55,US,High_school,Diabetes,"Eat less sugar,Lose weight",High,Unhealthy,Female,Ray's Chicken
1022,b35_45,US,BA,No Dietary Restrictions,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Kickin' London Broil with Bleu Cheese Butter
1023,b45_55,US,High_school,No Dietary Restrictions,Lose weight,High,Healthy,Female,Cajun Chicken Pasta
1024,bover_55,US,BA,Lactose intolerance,"Eat more protein,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Female,Bow Ties with Sausage' Tomatoes and Cream
1025,b35_45,US,High_school,"Gluten-free, Vegetarian",Lose weight,Very High,Very_Healthy,Male,Pizza On The Grill I
1026,b25_35,US,BA,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Male,Simple Carnitas
1027,b25_35,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,Roast Sticky Chicken-Rotisserie Style
1028,b35_45,US,BA,No Dietary Restrictions,Lose weight,Low,Unhealthy,Male,Dijon-Tarragon Cream Chicken
1031,b25_35,US,BA,No Dietary Restrictions,Eat more vegetables,High,Healthy,refuse_to_disc,Marinated Grilled Shrimp
1032,b25_35,US,BA,Halal,"Eat less sugar,Eat more protein,Eat more vegetables",Very_Low,Neither_healthy_no_unhealthy,Male,Filet Mignon with Rich Balsamic Glaze
1035,b25_35,US,MSc,Vegetarian,Eat more vegetables,Medium,Very_Healthy,Male,Simple Carnitas
1037,b35_45,US,High_school,No Dietary Restrictions,No goals,Medium,Unhealthy,Male,Grilled Flat Iron Steak with Blue Cheese-Chive Butter
1038,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Male,Chicken and Bacon Shish Kabobs
1040,b25_35,US,BA,No Dietary Restrictions,No goals,High,Very_Healthy,Female,Chicken and Bacon Shish Kabobs
1041,b35_45,US,High_school,"Gluten-free, Lactose intolerance, Vegetarian","Eat more fruit,Eat more vegetables,Lose weight",High,Healthy,Female,Spinach and Feta Pita Bake
1042,b35_45,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,Asian Beef Skewers
1044,b45_55,US,BA,Vegetarian,Eat more fruit,Medium,Healthy,Female,Coconut Shrimp I
1045,b25_35,US,BA,Vegetarian,Eat less sugar,Low,Neither_healthy_no_unhealthy,Male,California Grilled Veggie Sandwich
1055,b25_35,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Three Cheese Manicotti II
1056,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein,Lose weight",High,Neither_healthy_no_unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
1057,b45_55,US,High_school,No Dietary Restrictions,"Eat more vegetables,Lose weight",High,Healthy,Female,Linguine Pasta with Shrimp and Tomatoes
1066,b25_35,US,BA,"Lactose intolerance, Pescatarian, Vegetarian","Eat less salt,Eat less sugar,Eat more fruit",Medium,Very_Healthy,Male,Baked Ziti I
1067,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit",High,Healthy,Male,Coconut Shrimp I
1068,b45_55,US,BA,Lactose intolerance,No goals,High,Neither_healthy_no_unhealthy,Female,Stuffed Shells I
1069,b35_45,US,BA,No Dietary Restrictions,No goals,High,Neither_healthy_no_unhealthy,Female,Teena's Spicy Pesto Chicken and Pasta
1070,b35_45,US,BA,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Female,Pizza On The Grill I
1071,b25_35,US,MSc,"Gluten-free, Halal, Kosher","Eat less salt,Eat less sugar,Eat more fruit,Eat more protein",Very High,Very_Healthy,Male,Chipotle Shrimp Tacos
1073,bover_55,US,MSc,Diabetes,No goals,High,Healthy,Male,Honey Glazed Ham
1074,b25_35,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Kickin' London Broil with Bleu Cheese Butter
1076,bover_55,US,BA,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Baked Ziti I
1077,b35_45,US,BA,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Neither_healthy_no_unhealthy,Male,Stuffed Shells III
1078,b25_35,US,BA,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Pizza On The Grill I
1082,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Eat more protein",Medium,Neither_healthy_no_unhealthy,Male,Souvlaki
1084,b35_45,US,High_school,No Dietary Restrictions,Lose weight,Medium,Neither_healthy_no_unhealthy,Female,Kickin' London Broil with Bleu Cheese Butter
1087,b25_35,US,BA,"Diabetes, Vegetarian","Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables",Medium,Healthy,Male,Italian Subs - Restaurant Style
1088,b25_35,US,BA,No Dietary Restrictions,No goals,Very High,Very_Healthy,Male,Baked Halibut Steaks
1091,b45_55,US,BA,Halal,Eat less salt,High,Healthy,Male,Coconut Shrimp I
1100,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Healthy,Male,Crustless Spinach Quiche
1101,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Healthy,Male,Grilled Sausage with Potatoes and Green Beans
1102,b25_35,US,BA,Halal,Eat more fruit,Medium,Very_Healthy,Male,Bow Ties with Sausage' Tomatoes and Cream
1103,b35_45,US,High_school,"Halal, Kosher","Eat more fruit,Eat more protein",Very High,Healthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
1104,b25_35,US,MSc,No Dietary Restrictions,No goals,Medium,Healthy,Female,Charley's Slow Cooker Mexican Style Meat
1105,b45_55,US,High_school,No Dietary Restrictions,No goals,Very High,Healthy,Female,Spinach and Feta Turkey Burgers
1106,b25_35,US,BA,No Dietary Restrictions,No goals,High,Healthy,Male,G's Flank Steak Marinade
1107,bover_55,US,High_school,No Dietary Restrictions,"Eat more vegetables,Lose weight",Medium,Unhealthy,Female,Bacon Wrapped Pork Medallions
1108,b25_35,US,BA,Vegetarian,Eat more fruit,Very High,Very_Healthy,Male,Pizza On The Grill I
1109,b25_35,US,MSc,No Dietary Restrictions,No goals,High,Healthy,Male,Beef Stroganoff III
1110,b45_55,US,BA,No Dietary Restrictions,Lose weight,Low,Unhealthy,Male,Souvlaki
1111,b25_35,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Female,Simple Carnitas
1112,b25_35,US,BA,No Dietary Restrictions,"Eat more protein,Eat more vegetables",Medium,Healthy,Male,Kalua Pig in a Slow Cooker
1115,b25_35,US,High_school,Gluten-free,"Eat less sugar,Eat more vegetables,Lose weight",Medium,Healthy,Female,Italian Sausage' Peppers' and Onions
1116,b25_35,US,MSc,No Dietary Restrictions,Eat less sugar,Medium,Healthy,Male,Champagne Shrimp and Pasta
1118,b25_35,US,BA,"Lactose intolerance, Pescatarian, Vegetarian","Eat less salt,Eat less sugar",High,Healthy,Male,Bow Ties with Sausage' Tomatoes and Cream
1122,b35_45,US,MSc,No Dietary Restrictions,"No goals,Eat more vegetables",Medium,Healthy,Male,Simple Carnitas
1123,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Chicken Pot Pie IX
1129,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Sensational Sirloin Kabobs
1130,b35_45,US,MSc,No Dietary Restrictions,No goals,Medium,Very_Healthy,Male,Coconut Shrimp I
1131,b35_45,US,MSc,No Dietary Restrictions,No goals,Medium,Unhealthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
1132,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Lose weight",Medium,Unhealthy,Female,Chicken Pot Pie IX
1133,b25_35,US,MSc,"No Dietary Restrictions, Pescatarian, Vegetarian","Eat less salt,Eat more protein",Medium,Healthy,Male,Braised Corned Beef Brisket
1134,b18_24,US,BA,No Dietary Restrictions,"Eat more protein,Eat more vegetables",Medium,Healthy,Female,BBQ Pork for Sandwiches
1135,b18_24,US,BA,"Diabetes, Kosher, Pescatarian","Eat less salt,Eat more fruit,Eat more vegetables",High,Healthy,Male,Baked Halibut Steaks
1136,b25_35,US,BA,"Halal, Pescatarian",Eat more fruit,High,Healthy,Female,Coconut Shrimp I
1137,b45_55,US,High_school,No Dietary Restrictions,No goals,Low,Healthy,Male,Tangy Turkey and Swiss Sandwiches
1138,b25_35,US,BA,Diabetes,Eat more fruit,Very High,Healthy,Female,Italian Subs - Restaurant Style
1139,b45_55,US,BA,Diabetes,Eat more fruit,Very High,Healthy,Female,Pizza On The Grill I
1140,b35_45,US,MSc,No Dietary Restrictions,"Eat less sugar,Eat more vegetables",Very High,Healthy,Female,Stuffed Peppers My Way
1141,b25_35,US,BA,No Dietary Restrictions,"Eat more fruit,Eat more protein,Eat more vegetables",High,Very_Healthy,Male,Farmer's Market Vegetarian Quesadillas
1142,b35_45,US,High_school,No Dietary Restrictions,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Lamb Chops with Balsamic Reduction
1143,b35_45,US,BA,No Dietary Restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Male,Pizza On The Grill I
1144,b45_55,US,High_school,Vegetarian,"Eat more protein,Eat more vegetables,Gain weight",High,Healthy,Male,Pizza On The Grill I
1145,b25_35,US,BA,No Dietary Restrictions,No goals,Very_Low,Very_unhealthy,Male,Cuban Midnight Sandwich
1146,b35_45,US,MSc,Vegetarian,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Male,Grilled Sausage with Potatoes and Green Beans
1147,b25_35,US,BA,Vegetarian,Gain weight,Medium,Healthy,Male,Linguine Pasta with Shrimp and Tomatoes
1148,b35_45,US,BA,"Diabetes, Halal","Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables",High,Healthy,Female,Baked Halibut Steaks
1149,b25_35,US,High_school,No Dietary Restrictions,Lose weight,High,Healthy,Male,Scott Hibb's Amazing Whisky Grilled Baby Back Ribs
1150,bover_55,US,MSc,Vegetarian,"Eat less sugar,Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Female,Bow Ties with Sausage' Tomatoes and Cream
1152,bover_55,US,MSc,No Dietary Restrictions,"Eat less sugar,Eat more fruit,Eat more vegetables",High,Healthy,Female,Pico de Gallo Chicken Quesadillas
1153,bover_55,US,High_school,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",Medium,Healthy,Female,Stuffed Peppers My Way
1154,b25_35,US,High_school,No Dietary Restrictions,"Eat less sugar,Eat more vegetables,Lose weight",High,Neither_healthy_no_unhealthy,Female,Easy Chicken Satay
1155,b35_45,US,BA,No Dietary Restrictions,"Eat more protein,Lose weight",High,Very_Healthy,Female,Coconut Shrimp I
1157,bover_55,US,BA,No Dietary Restrictions,"Eat less sugar,Eat more fruit",Medium,Neither_healthy_no_unhealthy,Male,Kielbasa with Peppers and Potatoes
1158,b45_55,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Female,California Grilled Veggie Sandwich
1159,bover_55,US,MSc,Diabetes,"Eat less sugar,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Clam Sauce with Linguine
1160,b25_35,US,BA,No Dietary Restrictions,Eat more vegetables,Medium,Neither_healthy_no_unhealthy,Female,Asian Beef Skewers
1161,b25_35,US,BA,No Dietary Restrictions,No goals,Medium,Neither_healthy_no_unhealthy,Female,Pizza On The Grill I
1162,bover_55,US,BA,Halal,Eat more vegetables,Very High,Very_Healthy,Female,Easy Chicken Satay
1163,b35_45,US,BA,Vegetarian,"Eat more fruit,Eat more protein",High,Healthy,Female,California Grilled Veggie Sandwich
1164,b25_35,UM,BA,No Dietary Restrictions,"Eat less sugar,Eat more protein",Medium,Healthy,Female,Peppered Shrimp Alfredo
1165,b45_55,US,MSc,"Diabetes, Vegetarian","Eat more fruit,Eat more protein,Eat more vegetables",Very High,Very_Healthy,Female,Chicken and Bacon Shish Kabobs
1166,b25_35,US,BA,No Dietary Restrictions,"Eat more fruit,Eat more vegetables",High,Healthy,Female,Chicken Souvlaki Gyro Style
1167,b35_45,US,High_school,No Dietary Restrictions,Lose weight,Medium,Healthy,Male,Quick Chicken Piccata
1168,b45_55,US,BA,Vegetarian,"Eat less sugar,Eat more protein,Eat more vegetables",Medium,Healthy,Male,Tasty Lentil Tacos
1169,b35_45,US,BA,Vegetarian,Eat more fruit,High,Neither_healthy_no_unhealthy,Female,California Grilled Veggie Sandwich
1170,b35_45,US,High_school,No Dietary Restrictions,"Eat less salt,Eat less sugar,Eat more fruit,Eat more vegetables,Lose weight",Medium,Neither_healthy_no_unhealthy,Male,Spinach and Feta Turkey Burgers
1171,b45_55,US,BA,Vegetarian,"Eat more fruit,Eat more protein,Eat more vegetables",Medium,Healthy,Female,Sausage' Peppers' Onions' and Potato Bake
1172,b35_45,US,High_school,"Gluten-free, Lactose intolerance, Other","Eat more protein,Lose weight",Medium,Very_Healthy,Female,Farmer's Market Vegetarian Quesadillas
2009,b35_45,US,BA,No dietary restrictions,"Eat less sugar,Eat more protein,Eat more vegetables",Very High,Healthy,Female,Simple Carnitas
2010,b25_35,US,BA,"Halal, Lactose intolerance","Eat less sugar,Eat more fruit",Medium,Healthy,Male,Sesame Seared Tuna
